state (User order)	H3K4me3	H3K27ac	H3K4me1	H3K27me3	H3K36me3	H3K9me3	H4K20me3
1	0.9983450550302987	0.9654626535762538	3.6307487600333655E-5	0.0028715988499057594	0.01848779612583817	0.0026680824996042816	0.021878098321509873
2	0.9646658650974311	0.08897661774757193	0.09692420043410738	0.02191058569123328	0.001442760757652428	0.016744066427525725	0.06104761273131329
3	0.9906878140506845	0.042460723534698305	0.990230510441354	0.015502636369142685	0.014654322241024776	6.134156663825314E-4	0.004380996571440797
4	1.0	0.01805007909946228	0.8759223219857659	0.9286487327219108	0.00456467312642153	0.01291158623704162	0.06548991376116788
5	0.9910528341791675	0.9664066256629459	0.9954054859487933	2.6901386658564474E-4	0.08478207688627631	0.003358988750301456	0.004835598474341229
6	0.025436447873574658	0.7498834200927068	0.9790128594660829	1.5889645542124858E-5	0.030002265820780877	0.008644101145320864	0.009014348164769122
7	0.05098080022913529	0.14142697685302538	0.9279279782653879	5.439864385421149E-4	0.8636197828302221	0.00400176664423671	4.555793840643725E-4
8	3.23325759943859E-10	0.006190505480856854	0.9068675938158123	0.003713421163375402	0.008590410841847591	0.003034816503215297	0.0026622418881681272
9	2.2438336732607614E-4	7.486258705933858E-4	1.8051919124395947E-4	0.5931241709698275	0.0015438118085327561	0.01508934144132717	0.0027135007827156533
10	1.30877027765304E-16	3.72708755032111E-4	0.9771769986343712	0.8100981002422257	0.004077233304681607	0.007908316025598192	0.004312874952206745
11	1.5390798534029994E-5	0.00705049769970697	0.014958436066765888	1.0299124862605272E-4	0.7782239545944231	0.005386865586156113	2.102870088106993E-4
12	0.14812005046377855	0.2814913623047249	0.42045342979238143	0.03932758673504242	0.22666559384801369	0.8936405551983858	0.6326797023233127
13	0.001953520554572956	0.006407766104945106	0.0013235547395312203	7.861304176317301E-4	0.0028906337314989236	0.9977790175874172	0.8750178050859547
14	1.7669354633658736E-4	5.373535459437149E-4	0.002033357788284528	0.0018095480876843214	8.678922623857839E-4	0.7039128717290174	0.05953153104896549
15	1.8632662736208886E-5	1.5464895467922328E-4	0.0016044408810375827	0.0014603222043155656	0.0011338223571896455	0.0020063967706747806	4.140758817135088E-4
