15	7	U	-1.1118470286267973E7	93
probinit	1	0.0
probinit	2	1.2225451531671E-310
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	4.504868046547938E-251
probinit	9	6.791894528305071E-185
probinit	10	0.0
probinit	11	2.015473426975116E-281
probinit	12	0.0
probinit	13	0.0
probinit	14	4.3078994543052416E-185
probinit	15	1.0
transitionprobs	1	1	0.759643365658541
transitionprobs	1	2	0.08053098222481872
transitionprobs	1	3	0.04113016124131113
transitionprobs	1	4	3.5616056494134013E-4
transitionprobs	1	5	0.11453057287002691
transitionprobs	1	6	7.473045855945863E-4
transitionprobs	1	7	0.0011978709674714074
transitionprobs	1	8	5.759709071220205E-4
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	6.121652869932077E-7
transitionprobs	1	12	0.0012544370313235542
transitionprobs	1	13	0.0
transitionprobs	1	14	0.0
transitionprobs	1	15	3.256178356235157E-5
transitionprobs	2	1	0.13369631804700463
transitionprobs	2	2	0.4366683128008059
transitionprobs	2	3	0.18206056182755548
transitionprobs	2	4	0.02968968735090592
transitionprobs	2	5	0.005752228958764736
transitionprobs	2	6	6.725430938636945E-5
transitionprobs	2	7	0.001118593973793597
transitionprobs	2	8	0.024042804499026772
transitionprobs	2	9	0.0017365126794133359
transitionprobs	2	10	4.1523894931640566E-4
transitionprobs	2	11	5.173738603972278E-5
transitionprobs	2	12	0.04723473819978517
transitionprobs	2	13	1.7816119912988142E-4
transitionprobs	2	14	0.0060198636849325025
transitionprobs	2	15	0.1312679861341395
transitionprobs	3	1	0.020851687066988797
transitionprobs	3	2	0.051286083264567205
transitionprobs	3	3	0.5553423346114577
transitionprobs	3	4	0.011176814169981885
transitionprobs	3	5	0.04449707879782507
transitionprobs	3	6	7.78237247623348E-4
transitionprobs	3	7	0.011376012504178827
transitionprobs	3	8	0.2866073419319101
transitionprobs	3	9	4.899980583996672E-4
transitionprobs	3	10	0.006909365818268323
transitionprobs	3	11	0.0
transitionprobs	3	12	2.8391660018475833E-4
transitionprobs	3	13	1.6315778670394645E-5
transitionprobs	3	14	5.502265728573182E-5
transitionprobs	3	15	0.010329791492658023
transitionprobs	4	1	5.05436997282056E-4
transitionprobs	4	2	0.018170649740178974
transitionprobs	4	3	0.02348981150851852
transitionprobs	4	4	0.7924376887617031
transitionprobs	4	5	0.0
transitionprobs	4	6	0.0
transitionprobs	4	7	1.330192066795482E-4
transitionprobs	4	8	0.005697176552627439
transitionprobs	4	9	0.016350497195047255
transitionprobs	4	10	0.14061991832127455
transitionprobs	4	11	0.0
transitionprobs	4	12	0.0010016257954482963
transitionprobs	4	13	0.0
transitionprobs	4	14	0.0
transitionprobs	4	15	0.001594175921240442
transitionprobs	5	1	0.08587905936398046
transitionprobs	5	2	0.002168925629444137
transitionprobs	5	3	0.06783910701164458
transitionprobs	5	4	0.0
transitionprobs	5	5	0.6803412129508967
transitionprobs	5	6	0.11580398895247113
transitionprobs	5	7	0.014506982886581156
transitionprobs	5	8	0.031001778929986436
transitionprobs	5	9	0.0
transitionprobs	5	10	0.0
transitionprobs	5	11	0.0
transitionprobs	5	12	0.002050014860849752
transitionprobs	5	13	0.0
transitionprobs	5	14	0.0
transitionprobs	5	15	4.089294141455968E-4
transitionprobs	6	1	4.1515131039655736E-4
transitionprobs	6	2	4.607723526269131E-6
transitionprobs	6	3	9.549710716528042E-4
transitionprobs	6	4	0.0
transitionprobs	6	5	0.0811658251792516
transitionprobs	6	6	0.7447025273639899
transitionprobs	6	7	0.020466033931916906
transitionprobs	6	8	0.1353724783013141
transitionprobs	6	9	0.0
transitionprobs	6	10	0.0
transitionprobs	6	11	3.207647437800886E-4
transitionprobs	6	12	0.012831386643373091
transitionprobs	6	13	0.0
transitionprobs	6	14	1.842876437319129E-4
transitionprobs	6	15	0.0035819660870667373
transitionprobs	7	1	2.6241903843928464E-4
transitionprobs	7	2	1.7163497816351502E-4
transitionprobs	7	3	0.005568375769621709
transitionprobs	7	4	4.524052102471126E-5
transitionprobs	7	5	0.004504027196751366
transitionprobs	7	6	0.008936304285838881
transitionprobs	7	7	0.8611533477556904
transitionprobs	7	8	0.03302052455908164
transitionprobs	7	9	0.0
transitionprobs	7	10	7.4975475907688E-5
transitionprobs	7	11	0.0846298983613131
transitionprobs	7	12	9.965784219086351E-4
transitionprobs	7	13	0.0
transitionprobs	7	14	0.0
transitionprobs	7	15	6.366736362589177E-4
transitionprobs	8	1	3.781712005241635E-5
transitionprobs	8	2	7.227972580229101E-4
transitionprobs	8	3	0.02973550138405014
transitionprobs	8	4	2.8200384957601E-4
transitionprobs	8	5	0.0020423125459999004
transitionprobs	8	6	0.01348329619637395
transitionprobs	8	7	0.0071194489697206775
transitionprobs	8	8	0.8122853597065947
transitionprobs	8	9	0.0010757650380604185
transitionprobs	8	10	0.002409376427457919
transitionprobs	8	11	0.0033104820971556724
transitionprobs	8	12	0.002599832463720184
transitionprobs	8	13	0.0
transitionprobs	8	14	0.0013456966333913578
transitionprobs	8	15	0.1235503103098239
transitionprobs	9	1	0.0
transitionprobs	9	2	6.076983367639763E-4
transitionprobs	9	3	3.9733911715669886E-4
transitionprobs	9	4	0.007191685080966019
transitionprobs	9	5	0.0
transitionprobs	9	6	0.0
transitionprobs	9	7	5.812514379471179E-6
transitionprobs	9	8	0.009794514174500371
transitionprobs	9	9	0.8266984155569378
transitionprobs	9	10	0.07400114374506835
transitionprobs	9	11	1.6541815735955344E-4
transitionprobs	9	12	9.764843185733579E-4
transitionprobs	9	13	0.0
transitionprobs	9	14	0.0010594558864230154
transitionprobs	9	15	0.07910203311187128
transitionprobs	10	1	0.0
transitionprobs	10	2	3.0064823254533806E-4
transitionprobs	10	3	0.011781034029427238
transitionprobs	10	4	0.13579854525264776
transitionprobs	10	5	0.0
transitionprobs	10	6	0.0
transitionprobs	10	7	3.626385321320241E-4
transitionprobs	10	8	0.04391846137232737
transitionprobs	10	9	0.16642387310571272
transitionprobs	10	10	0.6312594879180029
transitionprobs	10	11	1.254220615559231E-4
transitionprobs	10	12	4.34427086292334E-4
transitionprobs	10	13	0.0
transitionprobs	10	14	1.3394918190360884E-4
transitionprobs	10	15	0.00946151322745283
transitionprobs	11	1	0.0
transitionprobs	11	2	0.0
transitionprobs	11	3	0.0
transitionprobs	11	4	0.0
transitionprobs	11	5	0.0
transitionprobs	11	6	4.6093918577263245E-5
transitionprobs	11	7	0.026757920297872592
transitionprobs	11	8	0.0046013144481388685
transitionprobs	11	9	3.66717050611242E-5
transitionprobs	11	10	1.2596884750002954E-5
transitionprobs	11	11	0.9444814188061608
transitionprobs	11	12	0.0012991816993540891
transitionprobs	11	13	0.0
transitionprobs	11	14	1.3557925889702853E-4
transitionprobs	11	15	0.022629222981188097
transitionprobs	12	1	0.0010664093739207357
transitionprobs	12	2	0.01666774002755739
transitionprobs	12	3	4.967728744808347E-4
transitionprobs	12	4	4.609547213069612E-4
transitionprobs	12	5	0.0017863629453113
transitionprobs	12	6	0.01348530801282952
transitionprobs	12	7	0.0026111830284405776
transitionprobs	12	8	0.027787686564173998
transitionprobs	12	9	0.001513611163845898
transitionprobs	12	10	2.697459936203959E-4
transitionprobs	12	11	0.01016618870859581
transitionprobs	12	12	0.7673625597529442
transitionprobs	12	13	0.05615287515900492
transitionprobs	12	14	0.045017084999775164
transitionprobs	12	15	0.05515551667419224
transitionprobs	13	1	4.98025528590087E-6
transitionprobs	13	2	9.786341499857859E-5
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0
transitionprobs	13	5	0.0
transitionprobs	13	6	0.0
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	4.8456217139674165E-8
transitionprobs	13	10	2.2840756552376534E-7
transitionprobs	13	11	0.0
transitionprobs	13	12	0.016587847603371703
transitionprobs	13	13	0.8491567104454731
transitionprobs	13	14	0.12916900019821198
transitionprobs	13	15	0.004983321218876103
transitionprobs	14	1	0.0
transitionprobs	14	2	2.1679001292367384E-4
transitionprobs	14	3	3.6868410607021876E-6
transitionprobs	14	4	1.0202517967018182E-5
transitionprobs	14	5	4.814715062486583E-6
transitionprobs	14	6	3.487366981699634E-5
transitionprobs	14	7	0.0
transitionprobs	14	8	0.0021725599296493537
transitionprobs	14	9	2.1346216710410338E-4
transitionprobs	14	10	1.298659508612143E-5
transitionprobs	14	11	1.0682249097612204E-4
transitionprobs	14	12	0.006060489122295649
transitionprobs	14	13	0.06012082665462138
transitionprobs	14	14	0.7935396850982284
transitionprobs	14	15	0.13750280018520833
transitionprobs	15	1	0.0
transitionprobs	15	2	3.244668547341295E-4
transitionprobs	15	3	8.301678364447981E-5
transitionprobs	15	4	5.876283555281746E-6
transitionprobs	15	5	3.0727554805447933E-6
transitionprobs	15	6	2.6306552284788068E-5
transitionprobs	15	7	1.2823966140931959E-5
transitionprobs	15	8	0.010195413036813473
transitionprobs	15	9	7.7056052604011E-4
transitionprobs	15	10	4.397143077681094E-5
transitionprobs	15	11	0.001313071319705352
transitionprobs	15	12	4.2055448819748153E-4
transitionprobs	15	13	1.2384217442577958E-4
transitionprobs	15	14	0.0072607302024888095
transitionprobs	15	15	0.9794162936257119
emissionprobs	1	0	H3K27ac	0	0.03453734642374625
emissionprobs	1	0	H3K27ac	1	0.9654626535762538
emissionprobs	1	1	H3K27me3	0	0.9971284011500943
emissionprobs	1	1	H3K27me3	1	0.0028715988499057594
emissionprobs	1	2	H3K36me3	0	0.9815122038741618
emissionprobs	1	2	H3K36me3	1	0.01848779612583817
emissionprobs	1	3	H3K4me1	0	0.9999636925123997
emissionprobs	1	3	H3K4me1	1	3.6307487600333655E-5
emissionprobs	1	4	H3K4me3	0	0.001654944969701346
emissionprobs	1	4	H3K4me3	1	0.9983450550302987
emissionprobs	1	5	H3K9me3	0	0.9973319175003957
emissionprobs	1	5	H3K9me3	1	0.0026680824996042816
emissionprobs	1	6	H4K20me3	0	0.9781219016784902
emissionprobs	1	6	H4K20me3	1	0.021878098321509873
emissionprobs	2	0	H3K27ac	0	0.9110233822524281
emissionprobs	2	0	H3K27ac	1	0.08897661774757193
emissionprobs	2	1	H3K27me3	0	0.9780894143087668
emissionprobs	2	1	H3K27me3	1	0.02191058569123328
emissionprobs	2	2	H3K36me3	0	0.9985572392423476
emissionprobs	2	2	H3K36me3	1	0.001442760757652428
emissionprobs	2	3	H3K4me1	0	0.9030757995658926
emissionprobs	2	3	H3K4me1	1	0.09692420043410738
emissionprobs	2	4	H3K4me3	0	0.03533413490256893
emissionprobs	2	4	H3K4me3	1	0.9646658650974311
emissionprobs	2	5	H3K9me3	0	0.9832559335724743
emissionprobs	2	5	H3K9me3	1	0.016744066427525725
emissionprobs	2	6	H4K20me3	0	0.9389523872686867
emissionprobs	2	6	H4K20me3	1	0.06104761273131329
