Name	sampleName	total	chrx	chr16	fold.x.16	ID	type	time	group	batch	rpm	rpm.chrx	rpm.chr16	rpm.spike	sp.cal	sf
2152077_R42AA04_0min_rep1	counts.2152077_R42AA04_0min_rep1.counts	98399873	6635614	188302	35.23921148	2152077	R42AA04	0	R42A	2.4	0.010162615	67435.18866	1913.640681	4328.579774	1057.278683	4.094076465
2152078_R42AA04_0min_rep2	counts.2152078_R42AA04_0min_rep2.counts	151085857	8222776	235098	34.97595045	2152078	R42AA04	0	R42A	2.4	0.006618753	54424.52499	1556.055641	3499.25407	1057.278683	3.30967996
2152079_R42AA10_0min_rep1	counts.2152079_R42AA10_0min_rep1.counts	142493151	8935790	271235	32.94482644	2152079	R42AA10	0	R42A	2.4	0.007017881	62710.3123	1903.494997	4087.263113	1057.278683	3.865833274
2152080_R42AA10_0min_rep2	counts.2152080_R42AA10_0min_rep2.counts	141660757	9460497	183605	51.52635821	2152080	R42AA10	0	R42A	2.4	0.007059118	66782.76469	1296.089361	3987.182915	1057.278683	3.771174978
2152081_MD09_0min_rep1	counts.2152081_MD09_0min_rep1.counts	136817653	6481356	148495	43.64696454	2152081	MD09	0	MD	2.4	0.007308998	47372.22031	1085.34971	2911.28587	1057.278683	2.753565277
2152082_MD09_0min_rep2	counts.2152082_MD09_0min_rep2.counts	135036506	6696682	120533	55.55890918	2152082	MD09	0	MD	2.4	0.007405405	49591.64154	892.5956659	2925.87991	1057.278683	2.767368676
2152083_MD30_0min_rep1	counts.2152083_MD30_0min_rep1.counts	125276829	6556829	121099	54.14436948	2152083	MD30	0	MD	2.4	0.007982322	52338.72099	966.6512233	3100.261661	1057.278683	2.932303195
2152084_MD30_0min_rep2	counts.2152084_MD30_0min_rep2.counts	137938769	5459894	148622	36.7367819	2152084	MD30	0	MD	2.4	0.007249593	39582.01193	1077.449082	2517.825137	1057.278683	2.381420506
2148677_R42AA04_45min_rep1	counts.2148677_R42AA04_45min_rep1.counts	141143466	2851239	111166	25.64848065	2148677	R42AA04	45	R42A	2.3	0.00708499	20200.99889	787.6099628	1403.854926	1057.278683	1.327800275
2148678_R42AA04_45min_rep2	counts.2148678_R42AA04_45min_rep2.counts	135646412	2567215	94614	27.13356374	2148678	R42AA04	45	R42A	2.3	0.007372108	18925.78626	697.504627	1295.041626	1057.278683	1.224881998
2148679_R42AA10_45min_rep1	counts.2148679_R42AA10_45min_rep1.counts	149662456	3253782	113779	28.59738616	2148679	R42AA10	45	R42A	2.3	0.006681702	21740.80318	760.2374239	1467.158871	1057.278683	1.387674692
2148680_R42AA10_45min_rep2	counts.2148680_R42AA10_45min_rep2.counts	136611728	2527469	76624	32.98534402	2148680	R42AA10	45	R42A	2.3	0.007320016	18501.11288	560.8888865	1205.500087	1057.278683	1.140191424
2148681_MD09_45min_rep1	counts.2148681_MD09_45min_rep1.counts	85363539	1940740	55043	35.25861599	2148681	MD09	45	MD	2.3	0.011714603	22734.99931	644.8069122	1459.153421	1057.278683	1.380102942
2148682_MD09_45min_rep2	counts.2148682_MD09_45min_rep2.counts	137233640	3556146	101264	35.11757387	2148682	MD09	45	MD	2.3	0.007286843	25913.07787	737.8948777	1664.601332	1057.278683	1.574420594
2148683_MD30_45min_rep1	counts.2148683_MD30_45min_rep1.counts	138999410	2400073	88375	27.15782744	2148683	MD30	45	MD	2.3	0.007194275	17266.78552	635.7940656	1181.236309	1057.278683	1.11724215
2148684_MD30_45min_rep2	counts.2148684_MD30_45min_rep2.counts	127343800	2536240	79040	32.08805668	2148684	MD30	45	MD	2.3	0.007852758	19916.47807	620.6819649	1306.164886	1057.278683	1.235402649
2143173_R42AA04_90_rep1	counts.2143173_R42AA04_90_rep1.counts	123836730	4552615	120679	37.72499772	2143173	R42AA04	90	R42A	2.1	0.008075149	36763.04276	974.5008609	2325.402568	1057.278683	2.199422541
2143174_R42AA04_90_rep2	counts.2143174_R42AA04_90_rep2.counts	130537534	4904072	125267	39.14895383	2143174	R42AA04	90	R42A	2.1	0.007660632	37568.29051	959.624379	2358.226715	1057.278683	2.230468421
2143175_R42AA10_90_rep1	counts.2143175_R42AA10_90_rep1.counts	123965728	5199111	169982	30.58624443	2143175	R42AA10	90	R42A	2.1	0.008066746	41939.90617	1371.201563	2782.59609	1057.278683	2.63184734
2143176_R42AA10_90_rep2	counts.2143176_R42AA10_90_rep2.counts	117165109	3061321	114165	26.81488197	2143176	R42AA10	90	R42A	2.1	0.008534964	26128.26486	974.3941774	1793.610332	1057.278683	1.696440456
2219299_MD09_90min_repX	counts.2219299_MD09_90min_repX.counts	341170573	21865784	937352	23.3271855	2219299	MD09	90	MD	2.6	0.002931085	64090.47477	2747.458527	4578.253002	1057.278683	4.330223503
2219300_MD09_90min_repY	counts.2219300_MD09_90min_repY.counts	448795363	22980047	530898	43.2852393	2219300	MD09	90	MD	2.6	0.002228187	51203.84232	1182.94003	3151.662131	1057.278683	2.980919015
2143179_MD30_90_rep1	counts.2143179_MD30_90_rep1.counts	83682654	5517452	213654	25.82423919	2143179	MD30	90	MD	2.1	0.011949908	65933.04271	2553.145602	4573.224936	1057.278683	4.325467834
2143180_MD30_90_rep2	counts.2143180_MD30_90_rep2.counts	137370080	7455077	149231	49.95662429	2143180	MD30	90	MD	2.1	0.007279606	54270.02008	1086.342819	3256.672414	1057.278683	3.080240305
2158730_R42AA04_180min_rep1	counts.2158730_R42AA04_180min_rep1.counts	134409298	1172145	33386	35.10887797	2158730	R42AA04	180	R42A	2.5	0.007439961	8720.713652	248.3905541	560.2309596	1057.278683	0.529880124
2158731_R42AA04_180min_rep2	counts.2158731_R42AA04_180min_rep2.counts	152637542	2730459	77886	35.05712195	2158731	R42AA04	180	R42A	2.5	0.006551468	17888.51526	510.2676509	1149.559589	1057.278683	1.087281534
2158732_R42AA10_180min_rep1	counts.2158732_R42AA10_180min_rep1.counts	133797922	2194301	62208	35.27361433	2158732	R42AA10	180	R42A	2.5	0.007473958	16400.1127	464.9399562	1052.475613	1057.278683	0.995457139
2158733_R42AA10_180min_rep2	counts.2158733_R42AA10_180min_rep2.counts	139663487	2132763	59597	35.78641542	2158733	R42AA10	180	R42A	2.5	0.007160068	15270.72713	426.7185453	976.8956291	1057.278683	0.923971744
2158734_MD09_180min_rep1	counts.2158734_MD09_180min_rep1.counts	130627623	2524893	62026	40.70700996	2158734	MD09	180	MD	2.5	0.007655349	19328.93627	474.8306566	1203.862142	1057.278683	1.138642215
2158735_MD09_180min_rep2	counts.2158735_MD09_180min_rep2.counts	141272854	2926854	72076	40.60788612	2158735	MD09	180	MD	2.5	0.007078501	20717.73817	510.1900185	1290.981918	1057.278683	1.221042227
2158736_MD30_180min_rep1	counts.2158736_MD30_180min_rep1.counts	131165215	2513046	63130	39.80747664	2158736	MD30	180	MD	2.5	0.007623973	19159.39375	481.3013877	1198.620381	1057.278683	1.13368443
2158737_MD30_180min_rep2	counts.2158737_MD30_180min_rep2.counts	135309619	2810430	65763	42.73573286	2158737	MD30	180	MD	2.5	0.007390458	20770.36371	486.0186621	1281.527517	1057.278683	1.212100024
2158738_R42AA04_240min_rep1	counts.2158738_R42AA04_240min_rep1.counts	114478112	2640031	70751	37.31439838	2158738	R42AA04	240	R42A	2.5	0.008735294	23061.44776	618.0308075	1462.087792	1057.278683	1.382878342
2158739_R42AA04_240min_rep2	counts.2158739_R42AA04_240min_rep2.counts	128486543	2930583	69529	42.14907449	2158739	R42AA04	240	R42A	2.5	0.007782916	22808.48197	541.1383821	1410.99329	1057.278683	1.334551914
2158740_R42AA10_240min_rep1	counts.2158740_R42AA10_240min_rep1.counts	119242021	1920061	59680	32.17260389	2158740	R42AA10	240	R42A	2.5	0.008386305	16102.21786	500.494704	1055.358245	1057.278683	0.998183603
2158741_R42AA10_240min_rep2	counts.2158741_R42AA10_240min_rep2.counts	115424170	2032424	70721	28.73862078	2158741	R42AA10	240	R42A	2.5	0.008663697	17608.30509	612.7052939	1186.767901	1057.278683	1.122474065
2158742_MD09_240min_rep1	counts.2158742_MD09_240min_rep1.counts	125597408	2757231	65956	41.80409667	2158742	MD09	240	MD	2.5	0.007961948	21952.92916	525.1382258	1360.215571	1057.278683	1.286525107
2158743_MD09_240min_rep2	counts.2158743_MD09_240min_rep2.counts	120745106	2174581	50610	42.96741751	2158743	MD09	240	MD	2.5	0.008281909	18009.68231	419.1474228	1110.057827	1057.278683	1.049919804
2158744_MD30_240min_rep1	counts.2158744_MD30_240min_rep1.counts	123540817	2212177	59199	37.36848595	2158744	MD30	240	MD	2.5	0.008094491	17906.44626	479.1857577	1134.915192	1057.278683	1.073430506
2158745_MD30_240min_rep2	counts.2158745_MD30_240min_rep2.counts	96209666	1895250	39103	48.46814822	2158745	MD30	240	MD	2.5	0.010393966	19699.16412	406.4352536	1188.175833	1057.278683	1.123805721
2152069_R42AA04_asyn_rep1	counts.2152069_R42AA04_asyn_rep1.counts	133219026	1387023	41565	33.36997474	2152069	R42AA04	asyn	R42A	2.4	0.007506435	10411.59842	312.0049834	676.5824125	1057.278683	0.63992817
